"","Symbol","logFC","logCPM","LR","PValue","FDR"
"100038498","Gm10447",0.241899669880679,-0.941458479502544,0.206188267088073,0.64977154833349,0.77220416937322
"105446","Gmpr2",0.059928427005025,3.28784374251634,0.206054191429875,0.649877825506098,0.772273092048294
"21402","Skp1a",0.0324504336549052,7.76340320115883,0.20576357402582,0.650108331184889,0.772489618698633
"54422","Barhl1",0.170829834376846,-0.104868787330122,0.205629218199519,0.650214963007004,0.772558931310135
"54673","Sh3glb1",-0.0408879155262208,4.99787437405878,0.205561390843776,0.650268810303654,0.772565521860428
"81000","Rad54l2",-0.0634657553738846,4.47562098643967,0.205336193868725,0.650447668234555,0.772618604566335
"213054","Gabpb2",-0.0571397817415403,3.36411299343638,0.205319011417551,0.650461319886077,0.772618604566335
"66225","Llph",-0.0939115104940714,1.22428991692727,0.205276763778173,0.650494889040635,0.772618604566335
"100504007","Gm15787",-0.24128754821849,-0.747543537283014,0.205261894241865,0.650506705076263,0.772618604566335
"672763","Gm13710",0.168025311933642,-0.341712126448902,0.204967425799275,0.650740809933275,0.772839267514311
"83602","Gtf2a1",-0.0435780176512071,4.33562918124361,0.204861596815014,0.650824994352422,0.772881860915212
"72480","Tspyl4",0.143588577741527,0.344212028413849,0.204751043835472,0.650912964580392,0.772928943464244
"19341","Rab4a",-0.0419047109769018,4.82099826669364,0.204563340917872,0.651062390814574,0.773048989761644
"108159","Ubxn8",0.0417240298021682,5.4824602600077,0.204376842122585,0.651210940281499,0.773167977271569
"68796","Tmem214",0.457342566677265,-1.77438613490016,0.204071822278067,0.651454069807512,0.773399231542429
"56455","Dynll1",0.0734246362860023,3.73399341156937,0.203758378408125,0.651704142107397,0.773638693261675
"67390","Mrm3",-0.06081829876792,3.09465065424926,0.203661540572554,0.651781448241614,0.773673043756929
"67510","Tvp23b",0.0367756447199368,4.90298308846133,0.203429655474359,0.651966653240214,0.773829473895137
"214425","Cilp",-0.388462250233555,-1.51704660183463,0.203309193479061,0.652062915529222,0.773829473895137
"16528","Kcnk4",-0.374769222673735,-1.4729057079595,0.203262462750338,0.652100267722814,0.773829473895137
"432769","Zfp708",-0.131826443130853,0.577273511753857,0.203254352567285,0.652106750774151,0.773829473895137
"100043508","Ptges3-ps",-0.224229722882264,-0.680371800682297,0.203123299626284,0.652211532377641,0.77389639913801
"67473","Slc47a1",-0.0413553455421682,7.38266790792893,0.202948298919157,0.652351515252218,0.774005080220994
"100045653","Gm17769",-0.562758110767933,-1.96843353753027,0.202643361135081,0.652595608224548,0.774199547220276
"66078","Tsen34",0.0435697525535511,6.26944696476532,0.202613882277376,0.652619216815938,0.774199547220276
"414101","E130317F20Rik",0.14227237019345,0.151848618058135,0.202491776545692,0.652717029049614,0.774199547220276
"18378","Omp",0.272135310884965,-0.908303407430716,0.202482840291413,0.652724188787441,0.774199547220276
"12797","Cnn1",-0.371389167796863,-1.076803254728,0.202441354103648,0.652757430060184,0.774199547220276
"102866","Pls3",0.0359619897295233,6.43794028437888,0.202186955962869,0.652961359031335,0.774383994788033
"53334","Gosr1",0.10165213116442,1.36500903490742,0.202079872154854,0.653047244978229,0.774428431452163
"27081","Zfp275",-0.0651510991486301,3.30213756423142,0.201717661468958,0.653337956859343,0.774715740230202
"59036","Dact1",0.157890335691064,0.742971395930319,0.201451834483116,0.653551510388534,0.774911520286479
"50930","Tnfsf14",0.333374284531396,-1.57361476789538,0.201247965891973,0.653715404035343,0.775021609380462
"69847","Wnk4",0.108627071156737,1.54969792628694,0.201215806998945,0.65374126625578,0.775021609380462
