"","Symbol","logFC","logCPM","LR","PValue","FDR"
"67288","Srek1ip1",-0.198032272966462,5.54233270471409,4.63572738281478,0.0313128681197472,0.0965580694255428
"75687","Ripor1",0.254644108047907,3.55442522532584,4.63334293835746,0.0313564110551166,0.0966737066987387
"231580","Gak",-0.60704249465193,0.56077896141806,4.62551944852488,0.0314997218800585,0.0970839965193483
"269999","Orai3",-0.271793712885796,4.595736550511,4.62541570583615,0.0315016268240991,0.0970839965193483
"74307","1700092M07Rik",-1.71619646647306,-1.83506685774815,4.62262406142082,0.0315529327127601,0.0972233855043789
"66359","Cox20",0.208949006570729,6.00788976873959,4.62122413540908,0.0315786938892194,0.0972840255805375
"100043876","Gm4705",0.268439016639957,5.34331454100429,4.62035642345057,0.0315946723766292,0.0973145107203147
"14672","Gna11",-0.183390055101787,5.92090471220527,4.61828782535552,0.0316327986219591,0.0974095395056829
"214779","Zfp879",-0.643039352705654,0.320231283803884,4.61802193765466,0.0316377026673039,0.0974095395056829
"69727","Usp46",-0.297683693119046,2.8817032006704,4.6154336295854,0.0316854830083561,0.0975378790009006
"74481","Batf2",0.622113027333548,1.12564220219715,4.6149673078263,0.0316940993401596,0.0975456331750429
"223658","Mroh1",0.29289723221446,3.4410621746624,4.61379406784139,0.0317157883729661,0.0975936107695156
"11977","Atp7a",0.276372685469984,3.78488908856748,4.61306921722154,0.031729196020567,0.0976160919109675
"64817","Svep1",1.5663965582162,-1.49455911496347,4.6116008269055,0.0317563751377347,0.0976809247170699
"66602","1700020I14Rik",0.279806190150618,3.30591997404421,4.6097246461793,0.0317911375888556,0.0977435346853503
"18415","Hspa4l",-0.388928986955953,2.81129724866278,4.60955674110169,0.0317942505206126,0.0977435346853503
"554292","Methig1",2.41024207103402,-2.04137800758636,4.60951313411555,0.03179505903879,0.0977435346853503
"19331","Rab19",1.06959075687295,-1.03461175564045,4.60916377251834,0.0318015373350377,0.0977446674900928
"66495","Ndufb3",0.459273634610109,7.5556157847432,4.60609364097335,0.0318585267919409,0.0978862691567217
"76457","Ccdc134",-0.371004382959899,2.31750407109823,4.60602268367095,0.0318598451993405,0.0978862691567217
"72273","Smim24",1.20796976599501,-0.996911495389169,4.60526015789723,0.031874016744632,0.0979110061214712
"240396","Mex3c",0.505071063454057,1.98979896521644,4.60487958232717,0.0318810922040571,0.0979139399271464
"229658","Vangl1",0.413695538173732,2.9293809382144,4.60396715984701,0.0318980621552234,0.0979472549633903
"100038460","Gm10677",-0.728549077504563,0.483067809115673,4.60323894574928,0.0319116128173251,0.0979700598448603
"20504","Slc17a1",-0.35464761997555,3.5716753986873,4.60181639500578,0.0319381010789996,0.0980249468484757
"240817","Teddm2",1.76165642510365,-1.75966942429338,4.6016207564672,0.0319417457132831,0.0980249468484757
"30051","Spdef",-1.36681777659347,-1.61107473149889,4.60065023631692,0.0319598323676627,0.0980616413919963
"56629","Dnase2b",-0.264514334714391,4.23014811611068,4.59999733990416,0.0319720057856212,0.0980801818903868
"67669","Hikeshi",-0.315560445350564,3.4622972711512,4.59936241474241,0.031983848765972,0.0980977017940989
"14732","Gpam",-0.45007899049717,1.58764516170836,4.59703113056379,0.0320273724653812,0.098212364328382
"50884","Nckap1",-0.69308771519052,1.27961424561693,4.59668947588068,0.0320337561476038,0.0982131143827838
"21838","Thy1",0.58396300501728,0.717584564352649,4.59567980438042,0.0320526292207792,0.0982521483567783
"67513","Faap20",0.375531937188338,5.13304390573366,4.59385219689186,0.0320868209101491,0.0983332227998261
"11487","Adam10",0.608904339048788,0.656148084262277,4.59360912967506,0.0320913711862665,0.0983332227998261
"269959","Adamtsl3",1.70275566739378,-1.68841746514004,4.59308157547853,0.0321012494434779,0.098344655035764
"19821","Rnf2",-0.300395651266135,4.39730977563715,4.59135579096441,0.0321335862968388,0.0984248733633595
"76509","Plet1",0.716325703201968,0.384983702078486,4.58957352229737,0.0321670172070966,0.0985084114240299
"107351","Kank1",0.255959472302783,5.74854853824673,4.58909980322858,0.0321759090991419,0.0985167834962817
"100503298",NA,-0.767817375155363,0.18596653416238,4.58809671832294,0.0321947458631986,0.0985427138050706
"100049164","B130046B21Rik",-0.645034270573577,0.816399446322591,4.58799283100904,0.0321966974033694,0.0985427138050706
"80385","Tusc2",-0.252888237788018,6.64277682291095,4.58660376835805,0.0322228030378889,0.0986037496174727
"111241","Hmga1b",0.72434066501993,4.78997509106312,4.58610150025558,0.0322322479544056,0.0986137890178966
"100504632","Gm11478",-0.295835263334084,9.57202688149493,4.58292699561605,0.0322920099127542,0.0987777389262411
"665330","Gm7589",0.322639223287342,3.72900843510443,4.58198218261397,0.0323098189104465,0.0988133211487905
"17134","Mafg",-0.250926758616154,6.86736294622529,4.5802099551624,0.0323432516893395,0.0988966629445819
"234852","Chmp1a",-0.278958210728548,8.06765788191692,4.5746340160357,0.0324486766096659,0.0991891951863658
"226139","Cox15",0.518559065007669,2.49135032495483,4.57416838186381,0.032457496621886,0.0991891951863658
"26414","Mapk10",1.82796088553849,-1.76297475160982,4.57405775502814,0.0324595924761261,0.0991891951863658
"67773","Kat8",-0.459542885942232,2.11900093104928,4.57383980075613,0.0324637220899995,0.0991891951863658
"104370","Snora68",-1.52247931854673,-1.52705639767653,4.57132445180633,0.0325114205111213,0.0993159643568681
"72775","Fance",-0.2535718798946,4.73826964323352,4.5703259201145,0.0325303758931786,0.0993548975828696
"71941","Cars2",-0.303900934299835,4.26542234830653,4.56927353218679,0.0325503661302851,0.0993969760168545
"100503871","4833432E10Rik",0.438536180058404,1.69467301010203,4.56750678071665,0.0325839546324836,0.0994659493752152
"15586","Hyal1",-0.405923689182277,4.04075251709676,4.56743141671026,0.0325853882157459,0.0994659493752152
"620695","Gm13889",0.303465074888205,3.75146524371016,4.5653011070701,0.0326259384740179,0.0995610631734191
"16765","Stmn1",0.4281405689942,3.91880514181367,4.56514066995826,0.0326289945129539,0.0995610631734191
